,SPY 3/20/15 P205,,SPY 4/17/15 P201,,SPY 5/15/15 P211,,SPY 6/19/15 P205,,SPY 7/17/15 P210,,SPY 8/21/15 P211,,SPY 9/18/15 P207,,SPY 10/16/15 P209,,SPY 11/20/15 P191,,SPY 12/18/15 P192,,SPY 1/15/16 P210,,SPY 2/19/16 P210,,SPY 3/18/16 P201,,SPY 4/15/16 P193,,SPY 5/20/16 P198,,SPY 6/17/16 P206,,SPY 7/15/16 P207,,SPY 8/19/16 P210,,SPY 9/16/16 P209,,SPY 10/21/16 P216,,SPY 11/18/16 P217,,SPY 12/16/16 P215,,SPY 1/20/17 P211,,SPY 2/17/17 P219,,SPY 3/17/17 P225,,SPY 4/21/17 P227,,SPY 5/19/17 P239,,SPY 6/16/17 P235,,SPY 7/21/17 P238,,SPY 8/18/17 P243,,SPY 9/15/17 P242,,SPY 10/20/17 P247,,SPY 11/17/17 P247,,SPY 12/15/17 P252,,SPY 1/19/18 P257,,SPY 2/16/18 P264,,SPY 3/16/18 P268,,SPY 4/20/18 P281,,SPY 5/18/18 P267,,SPY 6/15/18 P257,,SPY 7/20/18 P264,,SPY 8/17/18 P273,,SPY 9/21/18 P271,,SPY 10/19/18 P280,,SPY 11/16/18 P289,,SPY 12/21/18 P291,,SPY 1/18/19 P273,,SPY 2/15/19 P279,,SPY 3/15/19 P250,,SPY 4/18/19 P270,,SPY 5/17/19 P280,,SPY 6/21/19 P285,,SPY 7/19/19 P291,,SPY 8/16/19 P274,,SPY 9/20/19 P295,,SPY 10/18/19 P294,,SPY 11/15/19 P290,,SPY 12/20/19 P293,,SPY 1/17/20 P306,,SPY 2/21/20 P311,,SPY 3/20/20 P324,,SPY 4/17/20 P324,,SPY 5/15/20 P309,,SPY 6/19/20 P246,,SPY 7/17/20 P282,,SPY 8/21/20 P305,,SPY 9/18/20 P310,,SPY 10/16/20 P328,
,3/10/2015,2.7,4/8/2015,0.19,5/5/2015,2.9,6/5/2015,1.07,7/7/2015,3.11,8/4/2015,3,9/3/2015,12.11,10/7/2015,9.58,11/4/2015,0.12,,,1/7/2016,16,2/5/2016,22.35,3/9/2016,3.61,4/6/2016,0.06,5/4/2016,0.69,6/6/2016,0.44,7/6/2016,0.75,8/4/2016,0.41,9/6/2016,0.13,10/4/2016,2.84,11/4/2016,8.77,12/6/2016,0.27,1/6/2017,0.04,2/7/2017,0.1,3/9/2017,0.14,4/6/2017,0.25,5/4/2017,1.74,6/7/2017,0.18,7/5/2017,0.63,8/4/2017,0.44,9/6/2017,0.44,10/4/2017,0.35,11/6/2017,0.09,12/5/2017,0.23,1/8/2018,0.05,2/7/2018,2.74,3/8/2018,0.81,4/12/2018,14.69,5/4/2018,2.83,6/5/2018,0.12,7/5/2018,0.7,8/6/2018,0.16,9/5/2018,0.34,10/4/2018,0.78,11/6/2018,14.16,12/12/2018,24.36,1/11/2019,14.5,,,3/8/2019,0.05,4/8/2019,0.07,5/6/2019,0.51,6/5/2019,4.97,7/5/2019,0.52,8/6/2019,0.93,9/4/2019,4.63,10/4/2019,3.32,11/5/2019,0.11,12/4/2019,0.6,1/8/2020,0.16,2/6/2020,0.24,3/9/2020,50.25,4/7/2020,51.17,5/7/2020,21.41,6/5/2020,0.08,7/7/2020,0.4,8/4/2020,0.85,9/3/2020,1.29,10/6/2020,2.76
,3/11/2015,2.77,4/9/2015,0.08,5/6/2015,3.48,6/8/2015,1.33,7/8/2015,5.95,8/5/2015,2.24,9/4/2015,15.01,10/8/2015,7.75,11/5/2015,0.11,,,1/8/2016,18.35,2/8/2016,24.21,3/10/2016,3.35,4/7/2016,0.1,5/5/2016,0.63,6/7/2016,0.37,7/7/2016,0.7,8/5/2016,0.19,9/7/2016,0.11,10/5/2016,2.17,11/7/2016,4.85,12/7/2016,0.15,1/9/2017,0.03,2/8/2017,0.1,3/10/2017,0.08,4/7/2017,0.25,5/5/2017,1.15,6/8/2017,0.14,7/6/2017,1.15,8/7/2017,0.29,9/7/2017,0.35,10/5/2017,0.22,11/7/2017,0.12,12/6/2017,0.18,1/9/2018,0.05,2/8/2018,7.19,3/9/2018,0.17,4/13/2018,15.33,5/7/2018,2.35,6/6/2018,0.09,7/6/2018,0.31,8/7/2018,0.1,9/6/2018,0.36,10/5/2018,0.94,11/7/2018,9.29,12/14/2018,31.36,1/14/2019,15.83,,,3/11/2019,0.02,4/9/2019,0.09,5/7/2019,1.48,6/6/2019,3.84,7/8/2019,0.56,8/7/2019,0.7,9/5/2019,2.7,10/7/2019,3.84,11/6/2019,0.06,12/5/2019,0.44,1/9/2020,0.07,2/7/2020,0.28,3/10/2020,37.47,4/8/2020,50.23,5/8/2020,16.67,6/8/2020,0.07,7/8/2020,0.2,8/5/2020,0.64,9/4/2020,1.38,10/7/2020,1.2
,3/12/2015,1.39,4/10/2015,0.05,5/7/2015,2.91,6/9/2015,1.12,7/9/2015,5.78,8/6/2015,3.37,9/8/2015,10.55,10/9/2015,7.65,11/6/2015,0.07,,,1/11/2016,17.68,2/9/2016,24.71,3/11/2016,1.41,4/8/2016,0.06,5/6/2016,0.4,6/8/2016,0.22,7/8/2016,0.15,8/8/2016,0.15,9/8/2016,0.11,10/6/2016,1.9,11/8/2016,4.16,12/8/2016,0.14,1/10/2017,0.02,2/9/2017,0.05,3/13/2017,0.06,4/10/2017,0.18,5/8/2017,0.9,6/9/2017,0.16,7/7/2017,0.6,8/8/2017,0.47,9/8/2017,0.5,10/6/2017,0.23,11/8/2017,0.07,12/7/2017,0.1,1/10/2018,0.03,2/9/2018,4.89,3/12/2018,0.13,4/16/2018,14.45,5/8/2018,2.19,6/7/2018,0.09,7/9/2018,0.16,8/8/2018,0.08,9/7/2018,0.37,10/8/2018,0.8,11/8/2018,8.31,12/17/2018,37.85,1/16/2019,11.84,,,3/12/2019,0.01,4/10/2019,0.05,5/8/2019,1.43,6/7/2019,2.49,7/9/2019,0.46,8/8/2019,0.17,9/6/2019,2.02,10/8/2019,6.64,11/7/2019,0.05,12/6/2019,0.26,1/10/2020,0.04,2/10/2020,0.15,3/11/2020,50.84,4/9/2020,44.99,5/11/2020,16.02,6/9/2020,0.05,7/9/2020,0.22,8/6/2020,0.53,9/8/2020,1.47,10/8/2020,0.56
,3/13/2015,1.93,4/13/2015,0.05,5/8/2015,1.04,6/10/2015,0.4,7/10/2015,3.4,8/7/2015,3.55,9/9/2015,13.28,10/12/2015,7.4,11/9/2015,0.11,,,1/12/2016,16.9,2/10/2016,23.9,3/14/2016,1.22,4/11/2016,0.03,5/9/2016,0.23,6/9/2016,0.22,7/11/2016,0.07,8/9/2016,0.14,9/9/2016,1.12,10/7/2016,2.26,11/9/2016,1.91,12/9/2016,0.07,1/11/2017,0.03,2/10/2017,0.05,3/14/2017,0.06,4/11/2017,0.18,5/9/2017,0.99,6/12/2017,0.11,7/10/2017,0.41,8/9/2017,0.44,9/11/2017,0.09,10/9/2017,0.25,11/9/2017,0.13,12/8/2017,0.05,1/11/2018,0.01,2/12/2018,2.17,3/13/2018,0.16,4/18/2018,10.25,5/9/2018,0.97,6/8/2018,0.05,7/10/2018,0.15,8/9/2018,0.09,9/10/2018,0.21,10/9/2018,0.7,11/9/2018,12.8,12/18/2018,35.33,1/17/2019,10.5,,,3/13/2019,0.01,4/11/2019,0.04,5/9/2019,1.69,6/10/2019,1.8,7/10/2019,0.24,8/9/2019,0.2,9/9/2019,1.84,10/9/2019,4.67,11/8/2019,0.02,12/9/2019,0.41,1/13/2020,0.02,2/11/2020,0.11,3/12/2020,71.98,4/13/2020,50.4,5/12/2020,21.52,6/10/2020,0.05,7/10/2020,0.07,8/7/2020,0.41,9/9/2020,0.63,10/9/2020,0.22
,3/16/2015,0.79,4/14/2015,0.03,5/11/2015,1.43,6/11/2015,0.29,7/13/2015,1.15,8/10/2015,1.65,9/10/2015,12.45,10/14/2015,9.86,11/10/2015,0.08,,,1/13/2016,21.25,2/11/2016,26.96,3/15/2016,1.3,4/12/2016,0.02,5/10/2016,0.09,6/10/2016,0.58,7/12/2016,0.03,8/10/2016,0.15,9/12/2016,0.16,10/10/2016,1.4,11/10/2016,1.52,12/12/2016,0.06,1/12/2017,0.04,2/13/2017,0.03,3/15/2017,0.03,4/12/2017,0.21,5/10/2017,0.8,6/13/2017,0.04,7/11/2017,0.34,8/10/2017,1.73,9/12/2017,0.07,10/10/2017,0.19,11/10/2017,0.12,12/11/2017,0.02,1/12/2018,0.02,2/13/2018,1.7,3/14/2018,0.25,4/19/2018,13.12,5/10/2018,0.47,6/11/2018,0.04,7/11/2018,0.17,8/10/2018,0.21,9/11/2018,0.12,10/10/2018,5.26,11/12/2018,15.5,12/19/2018,34.19,1/18/2019,8.2,,,3/14/2019,0.01,4/12/2019,0.02,5/10/2019,0.64,6/11/2019,1.82,7/11/2019,0.2,8/12/2019,0.29,9/10/2019,1.72,10/10/2019,3.19,11/11/2019,0.01,12/10/2019,0.34,1/14/2020,0.02,2/12/2020,0.06,3/13/2020,64.71,4/14/2020,40.87,5/13/2020,27.6,6/11/2020,0.4,7/13/2020,0.12,8/10/2020,0.28,9/10/2020,0.88,10/12/2020,0.09
,3/17/2015,0.78,4/15/2015,0.02,5/12/2015,1.55,6/12/2015,0.55,7/14/2015,0.63,8/11/2015,2.83,9/11/2015,12,10/15/2015,6.96,11/11/2015,0.09,,,1/14/2016,18.04,2/12/2016,23.44,3/16/2016,0.52,4/13/2016,0.01,5/11/2016,0.15,6/13/2016,0.91,7/13/2016,0.02,8/11/2016,0.1,9/13/2016,0.52,10/11/2016,2.91,11/11/2016,1.62,12/13/2016,0.03,1/13/2017,0.03,2/14/2017,0.02,3/16/2017,0.03,4/13/2017,0.29,5/11/2017,0.94,6/14/2017,0.04,7/12/2017,0.14,8/11/2017,1.28,9/13/2017,0.05,10/11/2017,0.13,11/13/2017,0.06,12/12/2017,0.02,1/16/2018,0.03,2/14/2018,0.3,3/15/2018,0.06,4/20/2018,14.21,5/11/2018,0.21,6/12/2018,0.01,7/12/2018,0.05,8/13/2018,0.25,9/12/2018,0.1,10/11/2018,8.28,11/13/2018,16.93,12/20/2018,43.7,,,,,3/15/2019,0.01,4/15/2019,0.02,5/13/2019,2.71,6/12/2019,1.73,7/12/2019,0.11,8/13/2019,0.05,9/11/2019,0.99,10/11/2019,1.55,11/12/2019,0.02,12/11/2019,0.23,1/15/2020,0.02,2/13/2020,0.05,3/16/2020,84.86,4/15/2020,46,5/14/2020,28.89,6/12/2020,0.19,7/14/2020,0.04,8/11/2020,0.42,9/11/2020,0.43,10/13/2020,0.08
,3/18/2015,0.1,4/16/2015,0.01,5/13/2015,1.33,6/15/2015,0.65,7/15/2015,0.41,8/12/2015,2.8,9/14/2015,11.9,10/16/2015,5.78,11/12/2015,0.15,,,1/15/2016,21.72,2/16/2016,20.64,3/17/2016,0.06,4/14/2016,0.01,5/12/2016,0.11,6/14/2016,0.82,7/14/2016,0.01,8/12/2016,0.07,9/14/2016,0.49,10/12/2016,2.97,11/14/2016,1.4,12/14/2016,0.06,1/17/2017,0.03,2/15/2017,0.02,3/17/2017,0.01,4/17/2017,0.06,5/12/2017,0.83,6/15/2017,0.04,7/13/2017,0.1,8/14/2017,0.32,9/14/2017,0.03,10/12/2017,0.12,11/14/2017,0.03,12/13/2017,0.02,1/17/2018,0.01,2/15/2018,0.06,3/16/2018,0.01,,,5/14/2018,0.15,6/13/2018,0.02,7/13/2018,0.04,8/14/2018,0.08,9/13/2018,0.07,10/12/2018,5.21,11/14/2018,19.2,12/21/2018,50.5,,,,,,,4/16/2019,0.01,5/14/2019,0.87,6/13/2019,1.17,7/15/2019,0.08,8/14/2019,0.37,9/12/2019,0.73,10/14/2019,0.97,11/13/2019,0.02,12/12/2019,0.16,1/16/2020,0.01,2/14/2020,0.04,3/17/2020,72.38,4/16/2020,45.01,5/15/2020,23.17,6/15/2020,0.07,7/15/2020,0.02,8/12/2020,0.2,9/14/2020,0.13,10/14/2020,0.05
,3/19/2015,0.06,4/17/2015,0.01,5/14/2015,0.17,6/16/2015,0.28,7/16/2015,0.05,8/13/2015,2.75,9/15/2015,9.5,,,11/13/2015,0.22,,,,,2/17/2016,17,3/18/2016,0.01,4/15/2016,0.01,5/13/2016,0.17,6/15/2016,0.66,7/15/2016,0.01,8/15/2016,0.04,9/15/2016,0.04,10/13/2016,3.38,11/15/2016,0.43,12/15/2016,0.03,1/18/2017,0.02,2/16/2017,0.01,,,4/18/2017,0.05,5/15/2017,0.37,6/16/2017,0.01,7/14/2017,0.05,8/15/2017,0.17,9/15/2017,0.01,10/13/2017,0.07,11/15/2017,0.05,12/14/2017,0.03,1/18/2018,0.01,2/16/2018,0.01,,,,,5/15/2018,0.37,6/14/2018,0.01,7/16/2018,0.04,8/15/2018,0.08,9/14/2018,0.06,10/15/2018,6.17,11/15/2018,16.49,,,,,,,,,4/17/2019,0.01,5/15/2019,0.26,6/14/2019,0.95,7/16/2019,0.08,8/15/2019,0.03,9/13/2019,0.68,10/15/2019,0.29,11/14/2019,0.01,12/13/2019,0.12,,,2/18/2020,0.01,3/18/2020,94.89,4/17/2020,37.12,,,6/16/2020,0.03,7/16/2020,0.01,8/13/2020,0.15,9/15/2020,0.06,10/15/2020,0.02
,3/20/2015,0.01,,,5/15/2015,0.01,6/17/2015,0.12,7/17/2015,0.01,8/14/2015,2.02,9/16/2015,7.48,,,11/16/2015,0.04,,,,,2/18/2016,18.2,,,,,5/16/2016,0.05,6/16/2016,0.25,,,8/16/2016,0.04,9/16/2016,0.01,10/14/2016,3.2,11/16/2016,0.37,12/16/2016,0.01,1/19/2017,0.01,2/17/2017,0.01,,,4/19/2017,0.05,5/16/2017,0.3,,,7/17/2017,0.04,8/16/2017,0.08,,,10/16/2017,0.05,11/16/2017,0.03,12/15/2017,0.01,1/19/2018,0.01,,,,,,,5/16/2018,0.1,6/15/2018,0.01,7/17/2018,0.02,8/16/2018,0.01,9/17/2018,0.1,10/16/2018,1.32,11/16/2018,15.3,,,,,,,,,4/18/2019,0.01,5/16/2019,0.03,6/17/2019,0.75,7/17/2019,0.09,8/16/2019,0.01,9/16/2019,0.72,10/16/2019,0.18,11/15/2019,0.01,12/16/2019,0.05,,,2/19/2020,0.01,3/19/2020,82.92,,,,,6/17/2020,0.02,,,8/14/2020,0.09,9/16/2020,0.07,10/16/2020,0.01
,,,,,,,6/18/2015,0.04,,,8/17/2015,1.1,9/17/2015,7.8,,,11/17/2015,0.03,,,,,2/19/2016,18.1,,,,,5/17/2016,0.08,6/17/2016,0.03,,,8/17/2016,0.03,,,10/17/2016,3.35,11/17/2016,0.08,,,,,,,,,4/20/2017,0.02,5/17/2017,3.05,,,7/18/2017,0.03,8/17/2017,0.68,,,10/17/2017,0.05,11/17/2017,0.01,,,,,,,,,,,5/17/2018,0.02,,,7/18/2018,0.01,8/17/2018,0.01,9/18/2018,0.05,10/17/2018,1.13,,,,,,,,,,,,,5/17/2019,0.01,6/18/2019,0.34,7/18/2019,0.03,,,9/17/2019,0.5,10/17/2019,0.05,,,12/17/2019,0.03,,,2/20/2020,0.01,3/20/2020,93.83,,,,,6/18/2020,0.01,,,8/17/2020,0.04,9/17/2020,0.06,,
,,,,,,,6/19/2015,0.01,,,8/18/2015,1.33,9/18/2015,11.15,,,11/18/2015,0.02,,,,,,,,,,,5/18/2016,0.06,,,,,8/18/2016,0.01,,,10/18/2016,2.62,11/18/2016,0.01,,,,,,,,,4/21/2017,0.01,5/18/2017,2.35,,,7/19/2017,0.01,8/18/2017,0.07,,,10/18/2017,0.03,,,,,,,,,,,,,5/18/2018,0.01,,,7/19/2018,0.01,,,9/19/2018,0.03,10/18/2018,3.59,,,,,,,,,,,,,,,6/19/2019,0.09,7/19/2019,0.01,,,9/18/2019,0.32,10/18/2019,0.01,,,12/18/2019,0.02,,,2/21/2020,0.01,,,,,,,,,,,8/18/2020,0.02,9/18/2020,0.01,,
,,,,,,,,,,,8/19/2015,3.21,,,,,11/19/2015,0.01,,,,,,,,,,,5/19/2016,0.02,,,,,8/19/2016,0.01,,,10/19/2016,1.95,,,,,,,,,,,,,5/19/2017,0.54,,,7/20/2017,0.01,,,,,10/19/2017,0.02,,,,,,,,,,,,,,,,,7/20/2018,0.01,,,9/20/2018,0.01,10/19/2018,4.16,,,,,,,,,,,,,,,6/20/2019,0.05,,,,,9/19/2019,0.12,,,,,12/19/2019,0.01,,,,,,,,,,,,,,,8/19/2020,0.05,,,,
,,,,,,,,,,,8/20/2015,7.31,,,,,11/20/2015,0.01,,,,,,,,,,,5/20/2016,0.01,,,,,,,,,10/20/2016,1.91,,,,,,,,,,,,,,,,,7/21/2017,0.01,,,,,10/20/2017,0.01,,,,,,,,,,,,,,,,,,,,,9/21/2018,0.01,,,,,,,,,,,,,,,,,6/21/2019,0.01,,,,,9/20/2019,0.02,,,,,12/20/2019,0.01,,,,,,,,,,,,,,,8/20/2020,0.01,,,,
,,,,,,,,,,,8/21/2015,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,10/21/2016,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/21/2020,0.01,,,,
